source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp
4552679872225868032,266.8637626724167,20.3115539769986,0.002010610396761911,20.587587,1.5131626
4552679872228793984,266.85782325423224,20.311190281060412,0.8441322669196278,14.825098,0.88360214
4552679872230041984,266.8588152383007,20.319528135628357,-0.2832060266239165,20.488237,0.3060093
4552679902291691136,266.82137549725826,20.29540015150623,-0.048048781219001246,19.927917,1.424633
4552679902291692928,266.8133887264079,20.29949722067543,-0.1592746483946745,20.905117,0.9501991
4552679902291694080,266.8157878988178,20.300050357649628,0.3832728926600805,18.662981,1.1857014
4552679906588544640,266.8094293417136,20.296813081762124,0.37544104497575737,20.205635,2.0149403
4552679936651431680,266.82594970474537,20.299659509009576,0.5652137701099386,18.033354,1.2153225
4552679940945386112,266.82517407388184,20.30549658095141,2.7572747117089498,20.945757,0.22547722
4552679940945999744,266.8166574081877,20.302832259085367,-0.30295222127094934,20.607615,1.8565598
4552679940946000640,266.81910398169555,20.305762699285467,-0.41139715011073225,20.873596,0.8493862
4552679940948277120,266.82799151455947,20.299472634116093,0.5053793844387772,20.332733,0.76379967
4552679971011171456,266.8024559995652,20.30181185760858,0.2946466286048822,19.190664,0.8815727
6029365048342822912,255.32005250424717,-30.149552244561892,-0.7640334585924037,19.381645,1.5153217
4554701977195417216,260.16959495907054,19.781635709801456,0.3676890736176606,16.090738,0.95819473
4554701977195420800,260.16267627107663,19.78267790430852,1.3347595338700262,20.255142,2.211872
4554701977195421696,260.16885985106194,19.790477863617465,2.5249405585249987,12.143224,0.7191534
4554701977195423104,260.16341359810093,19.78968895564343,0.235817104980589,18.258785,1.0325184
4554701977196753024,260.1734869542106,19.791325953494255,2.13217233314177,19.759417,2.250248
4554701977196753152,260.17108064077166,19.789491084764453,0.4754784859961244,20.211967,0.479805
4554702011547130624,260.1794258256057,19.800566109912335,-0.3069616573870846,20.71043,1.2374935
4554701839756450176,260.2115374919823,19.786144515647834,0.9075425761881498,19.102358,2.1852093
4554701839757794816,260.20931523379033,19.792665178452093,-0.017309749618419357,19.390903,0.9523468
4554701869814020352,260.2265439593008,19.796385329057674,1.1567737402452976,19.712997,2.4072075
4554701874116186880,260.2199925441486,19.79010653879288,0.3210884991664229,16.712624,0.8572159
4554701874117532928,260.21589722475323,19.79510432350414,0.5204973639046065,20.56905,1.5074234
4554701904173723392,260.1840526240088,19.774416218113373,1.0615091726042705,20.801105,0.8573265
4554701908467895168,260.17244604178296,19.779788663535328,2.9991297982474237,20.7972,1.4774246
4554701908475934592,260.18143202320306,19.77763563899224,0.3347362707460394,17.398193,0.86471176
4554701908475940096,260.174597258259,19.784585996169252,0.10303220689692749,17.915752,0.84008217
4554701908477477120,260.17716127487796,19.770014429278664,-0.7713933347237599,20.608936,1.508995
4554701942829725056,260.1880769155615,19.782559690055642,0.43819867199193835,20.643932,1.3418064
4554701972893218048,260.1617386699022,19.78488977870316,0.6585018931589808,19.262243,1.8157749
6029341443076389888,255.23994550091612,-30.487550761046045,0.29358891989985303,19.88239,1.2718601
6029341443076396032,255.2363544154634,-30.48937708221269,0.8601335517387941,19.60117,1.5048199
6029341443076397440,255.23726623229754,-30.487803288536842,0.10067511961949621,19.604322,1.3988228
6029341443076407168,255.23597772298945,-30.48866845858425,0.20266644186824193,18.821209,1.4993782
6029341443076408320,255.2385326244387,-30.486708233437025,1.4570072582692983,19.953773,1.3201694
4553118061978997376,267.3021496621754,21.690297650955014,0.8274160292744742,15.491131,0.8847933
6029341443076408704,255.23080016594847,-30.492163105934374,0.8303777368828912,18.386969,1.2738419
4553118061978997504,267.3011472010624,21.68960368370327,0.8028808981894594,15.931296,1.0431881
4553118061979185280,267.29795570342935,21.686890120101545,0.2394084269211475,17.758278,0.82798195
6029341443076409344,255.2325586387593,-30.49083396469064,0.0995566778860963,18.400137,1.4081326
6029397793086847744,255.52217083216,-29.906095811535476,-1.6928656855504742,20.206938,0.9418144
4552022329911191168,265.95985656538767,18.405095217992223,-1.5062965653250475,20.688025,0.8220501
4552022329916500736,265.964329818061,18.40442051980033,0.562753759524681,17.53936,1.1934395
4552022359977172864,265.97712676786125,18.415851541753955,0.014033022388372108,20.008698,1.3913612
4552022359977175040,265.968418360111,18.416277563207114,0.24471244251813695,18.737473,0.80604553
4552022359977176832,265.97460808686276,18.418164596578826,0.10566679866570154,17.848537,0.81503105
4552022359980567936,265.97366960264645,18.418067367161097,0.16578510393964338,19.28513,1.0622063
4552022359982445568,265.9786204902089,18.411727753001998,2.3155754101523107,20.68371,2.2503376
4552022364275531904,265.97120774495795,18.417235309773712,0.355812703733114,17.148956,0.7489376
4552022394336875264,265.9293881127414,18.391755614421385,1.4309429639648403,18.781275,2.1536236
4552022394336881024,265.9395965161615,18.395490116736017,1.1812130515628503,18.206572,2.1013908
4552022394336895488,265.9343060335217,18.404877827579863,0.4060673862428588,18.4246,1.1638832
389907576493155200,10.464054623434324,46.774788627480696,0.014289114942958259,20.668165,1.6664734
389907580788299520,10.461587316406566,46.77695986510831,0.19027948775587358,20.49588,1.2869473
389907610852438400,10.473660640229419,46.792418622525766,0.009853617561439543,18.315487,0.81715584
389907610852894080,10.47322487039592,46.78404164508678,1.9694663421873762,20.079596,2.5744953
389907615146748288,10.469634284486446,46.783066863271166,0.7174475950104193,20.12626,1.8213539
389907645212168704,10.438340568954388,46.78731417703158,0.4600937561153745,18.455938,1.2435398
389907645214106112,10.44643092835337,46.78866957140259,0.43982539713223945,19.425114,1.8742733
